Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
bereitstellen,stelle bereit,stellst bereit,stellt bereit,stellte bereit,bereitgestellt,stellte bereit,stelle bereit,stellt bereit,hat
derogieren,derogiere,derogierst,derogiert,derogierte,derogiert,derogierte,derogiere,derogiert,hat
gebrechen,—,—,gebricht,gebrach,gebrochen,gebräche,—,—,hat
kuschen,kusche,kuschst,kuscht,kuschte,gekuscht,kuschte,kusch,kuscht,hat
sagen,sage,sagst,sagt,sagte,gesagt,sagte,sag,sagt,hat
korrigieren,korrigiere,korrigierst,korrigiert,korrigierte,korrigiert,korrigierte,korrigiere,korrigiert,hat
dünken,dünke,dünkst,dünkt,dünkte,gedünkt,dünkte,dünke,dünkt,hat
resorbieren,resorbiere,resorbierst,resorbiert,resorbierte,resorbiert,resorbierte,resorbiere,resorbiert,hat
kacken,kacke,kackst,kackt,kackte,gekackt,kackte,kack,kackt,hat
akquirieren,akquiriere,akquirierst,akquiriert,akquirierte,akquiriert,akquirierte,akquiriere,akquiriert,hat
triggern,triggere,triggerst,triggert,triggerte,getriggert,triggerte,trigger,triggert,hat
internalisieren,internalisiere,internalisierst,internalisiert,internalisierte,internalisiert,internalisierte,internalisiere,internalisiert,hat
usurpieren,usurpiere,usurpierst,usurpiert,usurpierte,usurpiert,usurpierte,usurpier,usurpiert,hat
vermasseln,vermassele,vermasselst,vermasselt,vermasselte,vermasselt,vermasselte,vermassele,vermasselt,hat
loben,lobe,lobst,lobt,lobte,gelobt,lobte,lobe,lobt,hat
tadeln,tadele,tadelst,tadelt,tadelte,getadelt,tadelte,tadele,tadelt,hat
riechen,rieche,riechst,riecht,roch,gerochen,röche,rieche,riecht,hat
schmecken,schmecke,schmeckst,schmeckt,schmeckte,geschmeckt,schmeckte,schmecke,schmeckt,hat
singen,singe,singst,singt,sang,gesungen,sänge,singe,singt,hat
bringen,bringe,bringst,bringt,brachte,gebracht,brächte,bring,bringt,hat
schimpfen,schimpfe,schimpfst,schimpft,schimpfte,geschimpft,schimpfte,schimpf,schimpft,hat
tragen,trage,trägst,trägt,trug,getragen,trüge,trag,tragt,hat
epilieren,epiliere,epilierst,epiliert,epilierte,epiliert,epilierte,epiliere,epiliert,hat
kooptieren,kooptiere,kooptierst,kooptiert,kooptierte,kooptiert,kooptierte,kooptiere,kooptiert,hat
vorstellen,stelle vor,stellst vor,stellt vor,stellte vor,vorgestellt,stellte vor,stell vor,stellt vor,hat
verschallen,verschalle,verschallst,verschallt,verscholl,verschollen,verschölle,verschalle,verschallt,ist
widersprechen,widerspreche,widersprichst,widerspricht,widersprach,widersprochen,widerspräche,widersprich,widersprecht,hat
brennen,brenne,brennst,brennt,brannte,gebrannt,brennte,brenne,brennt,hat
dislozieren,disloziere,dislozierst,disloziert,dislozierte,disloziert,dislozierte,disloziere,disloziert,hat
subsumieren,subsumiere,subsumierst,subsumiert,subsumierte,subsumiert,subsumierte,subsumiere,subsumiert,hat
evozieren,evoziere,evozierst,evoziert,evozierte,evoziert,evozierte,evoziere,evoziert,hat
kennen,kenne,kennst,kennt,kannte,gekannt,kennte,kenne,kennt,hat
nageln,nagele,nagelst,nagelt,nagelte,genagelt,nagelte,nagele,nagelt,hat
befehlen,befehle,befiehlst,befiehlt,befahl,befohlen,befähle,befiehl,befehlt,hat
zapfen,zapfe,zapfst,zapft,zapfte,gezapft,zapfte,zapfe,zapft,hat
beginnen,beginne,beginnst,beginnt,begann,begonnen,begönne,beginn,beginnt,hat
profitieren,profitiere,profitierst,profitiert,profitierte,profitiert,profitierte,profitiere,profitiert,hat
revozieren,revoziere,revozierst,revoziert,revozierte,revoziert,revozierte,revoziere,revoziert,hat
konsolidieren,konsolidiere,konsolidierst,konsolidiert,konsolidierte,konsolidiert,konsolidierte,konsolidiere,konsolidiert,hat
bitten,bitte,bittest,bittet,bat,gebeten,bäte,bitte,bittet,hat
bewegen,bewege,bewegst,bewegt,bewegte,bewegt,bewegte,bewege,bewegt,hat
wenden,wende,wendest,wendet,wandte,gewandt,wendete,wende,wendet,hat
fahren,fahre,fährst,fährt,fuhr,gefahren,führe,fahr,fahrt,ist
betrügen,betrüge,betrügst,betrügt,betrog,betrogen,betröge,betrüge,betrügt,hat
halbieren,halbiere,halbierst,halbiert,halbierte,halbiert,halbierte,halbier,halbiert,hat
tun,tue,tust,tut,tat,getan,täte,tue,tut,hat
erfahren,erfahre,erfährst,erfährt,erfuhr,erfahren,erführe,erfahr,erfahrt,hat
hussen,husse,husst,husst,husste,gehusst,husste,husse,husst,hat
pennen,penne,pennst,pennt,pennte,gepennt,pennte,penne,pennt,hat
verwursten,verwurste,verwurstest,verwurstet,verwurstete,verwurstet,verwurstete,verwurst,verwurstet,hat
nivellieren,nivelliere,nivellierst,nivelliert,nivellierte,nivelliert,nivellierte,nivelliere,nivelliert,hat
sekkieren,sekkiere,sekkierst,sekkiert,sekkierte,sekkiert,sekkierte,sekkiere,sekkiert,hat
konservieren,konserviere,konservierst,konserviert,konservierte,konserviert,konservierte,konserviere,konserviert,hat
frequentieren,frequentiere,frequentierst,frequentiert,frequentierte,frequentiert,frequentierte,frequentiere,frequentiert,hat
irritieren,irritiere,irritierst,irritiert,irritierte,irritiert,irritierte,irritiere,irritiert,hat
blättern,blättere,blätterst,blättert,blätterte,geblättert,blätterte,blättere,blättert,hat
übertragen,übertrage,überträgst,überträgt,übertrug,übertragen,übertrüge,übertrag,übertragt,hat
versalzen,versalze,versalzt,versalzt,versalzte,versalzen,versalzte,versalze,versalzt,hat
bellen,belle,bellst,bellt,bellte,gebellt,bellte,bell,bellt,hat
abästen,äste ab,ästest ab,ästet ab,ästete ab,abgeästet,ästete ab,äst ab,ästet ab,hat
purgieren,purgiere,purgierst,purgiert,purgierte,purgiert,purgierte,purgiere,purgiert,hat
detachieren,detachiere,detachierst,detachiert,detachierte,detachiert,detachierte,detachiere,detachiert,hat
niesen,niese,niest,niest,nieste,geniest,nieste,niese,niest,hat
herbringen,bringe her,bringst her,bringt her,brachte her,hergebracht,brächte her,bring her,bringt her,hat
verspüren,verspüre,verspürst,verspürt,verspürte,verspürt,verspürte,verspüre,verspürt,hat
leeren,leere,leerst,leert,leerte,geleert,leerte,leere,leert,hat
rüsten,rüste,rüstest,rüstet,rüstete,gerüstet,rüstete,rüste,rüstet,hat
rücken,rücke,rückst,rückt,rückte,gerückt,rückte,rücke,rückt,hat
konfligieren,konfligiere,konfligierst,konfligiert,konfligierte,konfligiert,konfligierte,konfligier,konfligiert,hat
verifizieren,verifiziere,verifizierst,verifiziert,verifizierte,verifiziert,verifizierte,verifiziere,verifiziert,hat
pofen,pofe,pofst,poft,pofte,gepoft,pofte,pofe,poft,hat
pissen,pisse,pisst,pisst,pisste,gepisst,pisste,pisse,pisst,hat
pinkeln,pinkle,pinkelst,pinkelt,pinkelte,gepinkelt,pinkelte,pinkele,pinkelt,hat
fechten,fechte,fichtst,ficht,focht,gefochten,föchte,ficht,fechtet,hat
attrahieren,attrahiere,attrahierst,attrahiert,attrahierte,attrahiert,attrahierte,attrahier,attrahiert,hat
eruieren,eruiere,eruierst,eruiert,eruierte,eruiert,eruierte,eruiere,eruiert,hat
addieren,addiere,addierst,addiert,addierte,addiert,addierte,addier,addiert,hat
behaupten,behaupte,behauptest,behauptet,behauptete,behauptet,behauptete,behaupte,behauptet,hat
zwingen,zwinge,zwingst,zwingt,zwang,gezwungen,zwänge,zwinge,zwingt,hat
diskreditieren,diskreditiere,diskreditierst,diskreditiert,diskreditierte,diskreditiert,diskreditierte,diskreditiere,diskreditiert,hat
messen,messe,misst,misst,maß,gemessen,mäße,miss,messt,hat
verzapfen,verzapfe,verzapfst,verzapft,verzapfte,verzapft,verzapfte,verzapf,verzapft,hat
rumhuren,hure rum,hurst rum,hurt rum,hurte rum,rumgehurt,hurte rum,hur rum,hurt rum,hat
indossieren,indossiere,indossierst,indossiert,indossierte,indossiert,indossierte,indossiere,indossiert,hat
robben,robbe,robbst,robbt,robbte,gerobbt,robbte,robb,robbt,ist
anziehen,ziehe an,ziehst an,zieht an,zog an,angezogen,zöge an,zieh an,zieht an,hat
kucken,kucke,kuckst,kuckt,kuckte,gekuckt,kuckte,kuck,kuckt,hat
verunglimpfen,verunglimpfe,verunglimpfst,verunglimpft,verunglimpfte,verunglimpft,verunglimpfte,verunglimpfe,verunglimpft,hat
erniedrigen,erniedrige,erniedrigst,erniedrigt,erniedrigte,erniedrigt,erniedrigte,erniedrige,erniedrigt,hat
fringsen,fringse,fringst,fringst,fringste,gefringst,fringste,fringse,fringst,hat
faulenzen,faulenze,faulenzt,faulenzt,faulenzte,gefaulenzt,faulenzte,faulenze,faulenzt,hat
tanzen,tanze,tanzt,tanzt,tanzte,getanzt,tanzte,tanze,tanzt,hat
glauben,glaube,glaubst,glaubt,glaubte,geglaubt,glaubte,glaub,glaubt,hat
mögen,mag,magst,mag,mochte,gemocht,möchte,—,—,hat
segeln,segle,segelst,segelt,segelte,gesegelt,segelte,segle,segelt,hat
gleiten,gleite,gleitest,gleitet,glitt,geglitten,glitte,gleit,gleitet,ist
schweben,schwebe,schwebst,schwebt,schwebte,geschwebt,schwebte,schweb,schwebt,ist
ankreuzen,kreuze an,kreuzt an,kreuzt an,kreuzte an,angekreuzt,kreuzte an,kreuz an,kreuzt an,hat
ausstrahlen,strahle aus,strahlst aus,strahlt aus,strahlte aus,ausgestrahlt,strahlte aus,strahl aus,strahlt aus,hat
speichern,speichere,speicherst,speichert,speicherte,gespeichert,speicherte,speichere,speichert,hat
umarmen,umarme,umarmst,umarmt,umarmte,umarmt,umarmte,umarm,umarmt,hat
betrachten,betrachte,betrachtest,betrachtet,betrachtete,betrachtet,betrachtete,betrachte,betrachtet,hat
formen,forme,formst,formt,formte,geformt,formte,form,formt,hat
holen,hole,holst,holt,holte,geholt,holte,hole,holt,hat
atmen,atme,atmest,atmet,atmete,geatmet,atmete,atme,atmet,hat
striegeln,striegele,striegelst,striegelt,striegelte,gestriegelt,striegelte,striegele,striegelt,hat
fühlen,fühle,fühlst,fühlt,fühlte,gefühlt,fühlte,fühl,fühlt,hat
rennen,renne,rennst,rennt,rannte,gerannt,rennte,renn,rennt,ist
schwimmen,schwimme,schwimmst,schwimmt,schwamm,geschwommen,schwömme,schwimm,schwimmt,ist
evakuieren,evakuiere,evakuierst,evakuiert,evakuierte,evakuiert,evakuierte,evakuiere,evakuiert,hat
schnökern,schnöker,schnökerst,schnökert,schnökerte,geschnökert,schnökerte,schnöker,schnökert,hat
erkundigen,erkundige,erkundigst,erkundigt,erkundigte,erkundigt,erkundigte,erkundige,erkundigt,hat
schlürfen,schlürfe,schlürfst,schlürft,schlürfte,geschlürft,schlürfte,schlürfe,schlürft,hat
schlurfen,schlurfe,schlurfst,schlurft,schlurfte,geschlurft,schlurfte,schlurfe,schlurft,ist
erkobern,erkobere,erkoberst,erkobert,erkoberte,erkobert,erkoberte,erkober,erkobert,hat
ankommen,komme an,kommst an,kommt an,kam an,angekommen,käme an,komm an,kommt an,ist
laden,lade,lädst,lädt,lud,geladen,lüde,lade,ladet,hat
rügen,rüge,rügst,rügt,rügte,gerügt,rügte,rüge,rügt,hat
wachsen,wachse,wächst,wächst,wuchs,gewachsen,wüchse,wachse,wachst,ist
waschen,wasche,wäschst,wäscht,wusch,gewaschen,wüsche,wasche,wascht,hat
baden,bade,badest,badet,badete,gebadet,badete,bade,badet,hat
allokieren,allokiere,allokierst,allokiert,allokierte,allokiert,allokierte,allokiere,allokiert,hat
regnen,—,—,regnet,regnete,geregnet,regnete,—,—,hat
hageln,—,—,hagelt,hagelte,gehagelt,hagelte,—,—,hat
betreffen,betreffe,betriffst,betrifft,betraf,betroffen,beträfe,betreffe,betrefft,hat
disponieren,disponiere,disponierst,disponiert,disponierte,disponiert,disponierte,disponiere,disponiert,hat
surfen,surfe,surfst,surft,surfte,gesurft,surfte,surfe,surft,hat
reiben,reibe,reibst,reibt,rieb,gerieben,riebe,reibe,reibt,hat
tauchen,tauche,tauchst,taucht,tauchte,getaucht,tauchte,tauche,taucht,ist
schlickern,schlickere,schlickerst,schlickert,schlickerte,geschlickert,schlickerte,schlickere,schlickert,hat
validieren,validiere,validierst,validiert,validierte,validiert,validierte,validier,validiert,hat
falsifizieren,falsifiziere,falsifizierst,falsifiziert,falsifizierte,falsifiziert,falsifizierte,falsifiziere,falsifiziert,hat
springen,springe,springst,springt,sprang,gesprungen,spränge,springe,springt,ist
prüfen,prüfe,prüfst,prüft,prüfte,geprüft,prüfte,prüf,prüft,hat
testen,teste,testest,testet,testete,getestet,testete,teste,testet,hat
überprüfen,überprüfe,überprüfst,überprüft,überprüfte,überprüft,überprüfte,überprüfe,überprüft,hat
abwracken,wracke ab,wrackst ab,wrackt ab,wrackte ab,abgewrackt,wrackte ab,wrack ab,wrackt ab,hat
umbrechen,breche um,brichst um,bricht um,brach um,umgebrochen,bräche um,brich um,brecht um,hat
kapitalisieren,kapitalisiere,kapitalisierst,kapitalisiert,kapitalisierte,kapitalisiert,kapitalisierte,kapitalisiere,kapitalisiert,hat
fretten,frette,frettest,frettet,frettete,gefrettet,frettete,frette,frettet,hat
kauen,kaue,kaust,kaut,kaute,gekaut,kaute,kaue,kaut,hat
mähen,mähe,mähst,mäht,mähte,gemäht,mähte,mähe,mäht,hat
blaken,blake,blakst,blakt,blakte,geblakt,blakte,blake,blakt,hat
unterfertigen,unterfertige,unterfertigst,unterfertigt,unterfertigte,unterfertigt,unterfertigte,unterfertig,unterfertigt,hat
fluchen,fluche,fluchst,flucht,fluchte,geflucht,fluchte,fluche,flucht,hat
überdenken,überdenke,überdenkst,überdenkt,überdachte,überdacht,überdächte,überdenke,überdenkt,hat
merken,merke,merkst,merkt,merkte,gemerkt,merkte,merke,merkt,hat
werden,werde,wirst,wird,wurde,geworden,würde,werde,werdet,ist
abbauen,baue ab,baust ab,baut ab,baute ab,abgebaut,baute ab,baue ab,bauet ab,hat
abbestellen,bestelle ab,bestellst ab,bestellt ab,bestellte ab,abbestellt,bestellte ab,bestell ab,bestellt ab,hat
erlegen,erlege,erlegst,erlegt,erlegte,erlegt,erlegte,erleg,erlegt,hat
wichsen,wichse,wichst,wichst,wichste,gewichst,wichste,wichse,wichst,hat
masturbieren,masturbiere,masturbierst,masturbiert,masturbierte,masturbiert,masturbierte,masturbiere,masturbiert,hat
abasten,aste ab,astest ab,astet ab,astete ab,abgeastet,astete ab,aste ab,astet ab,hat
abbiegen,biege ab,biegst ab,biegt ab,bog ab,abgebogen,böge ab,bieg ab,biegt ab,hat
abbilden,bilde ab,bildest ab,bildet ab,bildete ab,abgebildet,bildete ab,bild ab,bildet ab,hat
abbinden,binde ab,bindest ab,bindet ab,band ab,abgebunden,bände ab,bind ab,bindet ab,hat
abblenden,blende ab,blendest ab,blendet ab,blendete ab,abgeblendet,blendete ab,blende ab,blendet ab,hat
abblitzen,blitze ab,blitzt ab,blitzt ab,blitzte ab,abgeblitzt,blitzte ab,blitze ab,blitzt ab,ist
abblättern,blättre ab,blätterst ab,blättert ab,blätterte ab,abgeblättert,blätterte ab,blättre ab,blättert ab,ist
abbröckeln,bröckele ab,bröckelst ab,bröckelt ab,bröckelte ab,abgebröckelt,bröckelte ab,bröckele ab,bröckelt ab,hat
abbröseln,brösele ab,bröselst ab,bröselt ab,bröselte ab,abgebröselt,bröselte ab,brösele ab,bröselt ab,hat
abbrennen,brenne ab,brennst ab,brennt ab,brannte ab,abgebrannt,brennte ab,brenn ab,brennt ab,hat
abbringen,bringe ab,bringst ab,bringt ab,brachte ab,abgebracht,brächte ab,bring ab,bringt ab,hat
schmulen,schmule,schmulst,schmult,schmulte,geschmult,schmulte,schmul,schmult,hat
kiebitzen,kiebitze,kiebitzt,kiebitzt,kiebitzte,gekiebitzt,kiebitzte,kiebitz,kiebitzt,hat
abbuchen,buche ab,buchst ab,bucht ab,buchte ab,abgebucht,buchte ab,buch ab,bucht ab,hat
abchecken,checke ab,checkst ab,checkt ab,checkte ab,abgecheckt,checkte ab,check ab,checkt ab,hat
abdanken,danke ab,dankst ab,dankt ab,dankte ab,abgedankt,dankte ab,danke ab,dankt ab,hat
abdecken,decke ab,deckst ab,deckt ab,deckte ab,abgedeckt,deckte ab,deck ab,deckt ab,hat
werben,werbe,wirbst,wirbt,warb,geworben,würbe,wirb,werbt,hat
saften,safte,saftest,saftet,saftete,gesaftet,saftete,safte,saftet,hat
notieren,notiere,notierst,notiert,notierte,notiert,notierte,notiere,notiert,hat
zwitschern,zwitschere,zwitscherst,zwitschert,zwitscherte,gezwitschert,zwitscherte,zwitscher,zwitschert,hat
missachten,missachte,missachtest,missachtet,missachtete,missachtet,missachtete,missachte,missachtet,hat
aussehen,sehe aus,siehst aus,sieht aus,sah aus,ausgesehen,sähe aus,sieh aus,seht aus,hat
ausschauen,schaue aus,schaust aus,schaut aus,schaute aus,ausgeschaut,schaute aus,schau aus,schaut aus,hat
blaumachen,mache blau,machst blau,macht blau,machte blau,blaugemacht,machte blau,mach blau,macht blau,hat
kondizieren,kondiziere,kondizierst,kondiziert,kondizierte,kondiziert,kondizierte,kondiziere,kondiziert,hat
rigolen,rigole,rigolst,rigolt,rigolte,rigolt,rigolte,rigol,rigolt,hat
Vorlage:Formatvorlage (Verb),ziele,zielst,zielt,zielte,gezielt,zielte,ziel,zielt,hat
menscheln,—,—,menschelt,menschelte,gemenschelt,menschelte,—,—,hat
zergen,zerge,zergst,zergt,zergte,gezergt,zergte,zerg,zergt,hat
hecken,hecke,heckst,heckt,heckte,geheckt,heckte,heck,heckt,hat
zubuttern,buttere zu,butterst zu,buttert zu,butterte zu,zugebuttert,butterte zu,butter zu,buttert zu,hat
buttern,buttere,butterst,buttert,butterte,gebuttert,butterte,buttere,buttert,hat
schleichen,schleiche,schleichst,schleicht,schlich,geschlichen,schliche,schleiche,schleicht,ist
ausbaldowern,baldowere aus,baldowerst aus,baldowert aus,baldowerte aus,ausbaldowert,baldowerte aus,baldower aus,baldowert aus,hat
prosperieren,prosperiere,prosperierst,prosperiert,prosperierte,prosperiert,prosperierte,prosperiere,prosperiert,hat
ballern,ballere,ballerst,ballert,ballerte,geballert,ballerte,ballere,ballert,hat
sekundieren,sekundiere,sekundierst,sekundiert,sekundierte,sekundiert,sekundierte,sekundiere,sekundiert,hat
hudeln,hudle,hudelst,hudelt,hudelte,gehudelt,hudelte,hudle,hudelt,hat
bejahen,bejahe,bejahst,bejaht,bejahte,bejaht,bejahte,bejahe,bejaht,hat
imponieren,imponiere,imponierst,imponiert,imponierte,imponiert,imponierte,imponiere,imponiert,hat
emanzipieren,emanzipiere,emanzipierst,emanzipiert,emanzipierte,emanzipiert,emanzipierte,emanzipiere,emanzipiert,hat
konkatenieren,konkateniere,konkatenierst,konkateniert,konkatenierte,konkateniert,konkatenierte,konkatenier,konkateniert,hat
herumfuhrwerken,fuhrwerke herum,fuhrwerkst herum,fuhrwerkt herum,fuhrwerkte herum,herumgefuhrwerkt,fuhrwerkte herum,fuhrwerk herum,fuhrwerkt herum,hat
helfen,helfe,hilfst,hilft,half,geholfen,hülfe,hilf,helft,hat
abdrehen,drehe ab,drehst ab,dreht ab,drehte ab,abgedreht,drehte ab,dreh ab,dreht ab,hat
aufbrezeln,brezele auf,brezelst auf,brezelt auf,brezelte auf,aufgebrezelt,brezelte auf,brezele auf,brezelt auf,hat
sondern,sondere,sonderst,sondert,sonderte,gesondert,sonderte,sondere,sondert,hat
abonnieren,abonniere,abonnierst,abonniert,abonnierte,abonniert,abonnierte,abonniere,abonniert,hat
motzen,motze,motzt,motzt,motzte,gemotzt,motzte,motze,motzt,hat
loggen,logge,loggst,loggt,loggte,geloggt,loggte,logg,loggt,hat
teilen,teile,teilst,teilt,teilte,geteilt,teilte,teile,teilt,hat
sicherstellen,stelle sicher,stellst sicher,stellt sicher,stellte sicher,sichergestellt,stellte sicher,stell sicher,stellt sicher,hat
kommen,komme,kommst,kommt,kam,gekommen,käme,komm,kommt,ist
schreien,schreie,schreist,schreit,schrie,geschrien,schrie,schreie,schreit,hat
keifen,keife,keifst,keift,keifte,gekeift,keifte,keif,keift,hat
keppeln,kepple,keppelst,keppelt,keppelte,gekeppelt,keppelte,kepple,keppelt,hat
nörgeln,nörgle,nörgelst,nörgelt,nörgelte,genörgelt,nörgelte,nörgle,nörgelt,hat
raunzen,raunze,raunzt,raunzt,raunzte,geraunzt,raunzte,raunz,raunzt,hat
meckern,meckre,meckerst,meckert,meckerte,gemeckert,meckerte,meckre,meckert,hat
jammern,jammere,jammerst,jammert,jammerte,gejammert,jammerte,jammere,jammert,hat
beleidigen,beleidige,beleidigst,beleidigt,beleidigte,beleidigt,beleidigte,beleidige,beleidigt,hat
verletzen,verletze,verletzt,verletzt,verletzte,verletzt,verletzte,verletze,verletzt,hat
prügeln,prügle,prügelst,prügelt,prügelte,geprügelt,prügelte,prügle,prügelt,hat
deklinieren,dekliniere,deklinierst,dekliniert,deklinierte,dekliniert,deklinierte,dekliniere,dekliniert,hat
verscheiden,verscheide,verscheidest,verscheidet,verschied,verschieden,verschiede,verscheide,verscheidet,ist
rödeln,rödle,rödelst,rödelt,rödelte,gerödelt,rödelte,rödle,rödelt,hat
kreischen,kreische,kreischst,kreischt,kreischte,gekreischt,kreischte,kreisch,kreischt,hat
brüllen,brülle,brüllst,brüllt,brüllte,gebrüllt,brüllte,brüll,brüllt,hat
schaukeln,schaukle,schaukelst,schaukelt,schaukelte,geschaukelt,schaukelte,schaukle,schaukelt,hat
verweilen,verweile,verweilst,verweilt,verweilte,verweilt,verweilte,verweile,verweilt,hat
