Infinitive,Präsens_ich,Präsens_du,"Präsens_er, sie, es",Präteritum_ich,Partizip II,Konjunktiv II_ich,Imperativ Singular,Imperativ Plural,Hilfsverb
diskriminieren,diskriminiere,diskriminierst,diskriminiert,diskriminierte,diskriminiert,diskriminierte,diskriminiere,diskriminiert,hat
sympathisieren,sympathisiere,sympathisierst,sympathisiert,sympathisierte,sympathisiert,sympathisierte,sympathisier,sympathisiert,hat
ausgraben,grabe aus,gräbst aus,gräbt aus,grub aus,ausgegraben,grübe aus,grab aus,grabt aus,hat
abschmettern,schmettere ab,schmetterst ab,schmettert ab,schmetterte ab,abgeschmettert,schmetterte ab,schmetter ab,schmettert ab,hat
abwandern,wandere ab,wanderst ab,wandert ab,wanderte ab,abgewandert,wanderte ab,wandere ab,wandert ab,ist
anpissen,pisse an,pisst an,pisst an,pisste an,angepisst,pisste an,piss an,pisst an,hat
frosten,froste,frostest,frostet,frostete,gefrostet,frostete,froste,frostet,hat
tiefkühlen,—,—,—,—,tiefgekühlt,—,—,—,hat
zollen,zolle,zollst,zollt,zollte,gezollt,zollte,zolle,zollt,hat
begöschen,begösche,begöschst,begöscht,begöschte,begöscht,begöschte,begösche,begöscht,hat
verfahren,verfahre,verfährst,verfährt,verfuhr,verfahren,verführe,verfahre,verfahrt,hat
anmaßen,maße an,maßt an,maßt an,maßte an,angemaßt,maßte an,maß an,maßt an,hat
anstreichen,streiche an,streichst an,streicht an,strich an,angestrichen,striche an,streich an,streicht an,hat
wegklicken,klicke weg,klickst weg,klickt weg,klickte weg,weggeklickt,klickte weg,klick weg,klickt weg,hat
wiedererkennen,erkenne wieder,erkennst wieder,erkennt wieder,erkannte wieder,wiedererkannt,erkennte wieder,erkenn wieder,erkennt wieder,hat
knien,knie,kniest,kniet,kniete,gekniet,kniete,knie,kniet,hat
anhäufen,häufe an,häufst an,häuft an,häufte an,angehäuft,häufte an,häuf an,häuft an,hat
aufliefern,liefere auf,lieferst auf,liefert auf,lieferte auf,aufgeliefert,lieferte auf,liefere auf,liefert auf,hat
fallieren,falliere,fallierst,falliert,fallierte,falliert,fallierte,falliere,falliert,hat
fehlinterpretieren,interpretiere fehl,interpretierst fehl,interpretiert fehl,interpretierte fehl,fehlinterpretiert,interpretierte fehl,interpretiere fehl,interpretiert fehl,hat
versaubeuteln,versaubeutle,versaubeutelst,versaubeutelt,versaubeutelte,versaubeutelt,versaubeutelte,versaubeutel,versaubeutelt,hat
verschlucken,verschlucke,verschluckst,verschluckt,verschluckte,verschluckt,verschluckte,verschluck,verschluckt,hat
outen,oute,outest,outet,outete,geoutet,outete,out,outet,hat
verfehlen,verfehle,verfehlst,verfehlt,verfehlte,verfehlt,verfehlte,verfehl,verfehlt,hat
bescheinigen,bescheinige,bescheinigst,bescheinigt,bescheinigte,bescheinigt,bescheinigte,bescheinig,bescheinigt,hat
brabbeln,brabbel,brabbelst,brabbelt,brabbelte,gebrabbelt,brabbelte,brabbel,brabbelt,hat
einflößen,flöße ein,flößt ein,flößt ein,flößte ein,eingeflößt,flößte ein,flöße ein,flößt ein,hat
aufscheinen,scheine auf,scheinst auf,scheint auf,schien auf,aufgeschienen,schiene auf,schein auf,scheint auf,ist
aufblitzen,-,-,blitzt auf,blitzte auf,aufgeblitzt,blitzte auf,—,—,hat
getrauen,getraue,getraust,getraut,getraute,getraut,getraute,getrau,getraut,hat
verwerfen,verwerfe,verwirfst,verwirft,verwarf,verworfen,verwürfe,verwirf,verwerft,hat
sülzen,sülze,sülzt,sülzt,sülzte,gesülzt,sülzte,sülz,sülzt,hat
faschieren,faschiere,faschierst,faschiert,faschierte,faschiert,faschierte,faschiere,faschiert,hat
strippen,strippe,strippst,strippt,strippte,gestrippt,strippte,strippe,strippt,hat
vonstattengehen,gehe vonstatten,gehst vonstatten,geht vonstatten,ging vonstatten,vonstattengegangen,ginge vonstatten,geh vonstatten,geht vonstatten,ist
europäisieren,europäisiere,europäisierst,europäisiert,europäisierte,europäisiert,europäisierte,europäisier,europäisiert,hat
mitwirken,wirke mit,wirkst mit,wirkt mit,wirkte mit,mitgewirkt,wirkte mit,wirk mit,wirkt mit,hat
tottrampeln,trample tot,trampelst tot,trampelt tot,trampelte tot,totgetrampelt,trampelte tot,trample tot,trampelt tot,hat
verabsolutieren,verabsolutiere,verabsolutierst,verabsolutiert,verabsolutierte,verabsolutiert,verabsolutierte,verabsolutier,verabsolutiert,hat
bonitieren,bonitiere,bonitierst,bonitiert,bonitierte,bonitiert,bonitierte,bonitiere,bonitiert,hat
piercen,pierce,pierct,pierct,piercte,gepierct,piercte,pierce,pierct,hat
kontrastieren,kontrastiere,kontrastierst,kontrastiert,kontrastierte,kontrastiert,kontrastierte,kontrastiere,kontrastiert,hat
unieren,uniere,unierst,uniert,unierte,uniert,unierte,unier,uniert,hat
zusammentrommeln,trommle zusammen,trommelst zusammen,trommelt zusammen,trommelte zusammen,zusammengetrommelt,trommelte zusammen,trommle zusammen,trommelt zusammen,hat
hinterlaufen,hinterlaufe,hinterläufst,hinterläuft,hinterlief,hinterlaufen,hinterliefe,hinterlauf,hinterlauft,hat
einschläfern,schläfere ein,schläferst ein,schläfert ein,schläferte ein,eingeschläfert,schläferte ein,schläfer ein,schläfert ein,hat
beleuchten,beleuchte,beleuchtest,beleuchtet,beleuchtete,beleuchtet,beleuchtete,beleuchte,beleuchtet,hat
heiß laufen,laufe heiß,läufst heiß,läuft heiß,lief heiß,heiß gelaufen,liefe heiß,laufe heiß,lauft heiß,hat
eislaufen,laufe eis,läufst eis,läuft eis,lief eis,eisgelaufen,liefe eis,lauf eis,lauft eis,ist
lahmlegen,lege lahm,legst lahm,legt lahm,legte lahm,lahmgelegt,legte lahm,leg lahm,legt lahm,hat
stilllegen,lege still,legst still,legt still,legte still,stillgelegt,legte still,leg still,legt still,hat
schürfen,schürfe,schürfst,schürft,schürfte,geschürft,schürfte,schürf,schürft,hat
wohlwollen,will wohl,willst wohl,will wohl,wollte wohl,wohlgewollt,wollte wohl,—,—,hat
